DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jun2012,-0.87878,-0.94939,-0.45741,-0.91803,-1.18461,-1.37063,-1.63197,-1.45021,-1.70001,-1.78456,-1.77244,-1.70651,-1.65525,-1.58675,-1.54033,-1.48509,-1.44774,-1.4103,-1.09984,-1.01071,-1.07854,-1.11101,-1.08977,-1.10421,-1.01119,-1.03621,-1.12056,-1.00569,-0.72173,-0.54262,-0.05637,-0.14726,-0.22192,-0.17023,-0.19566,-0.2338,-0.28495,-0.36661,-0.32903,-0.29734,-0.23034,-0.2064,-0.18342,-0.14561,-0.074,-0.05711,-0.08696,-0.08709
Jul2012,0.37523,-0.63058,-0.82377,-0.39051,-0.84703,-1.11878,-1.28717,-1.54452,-1.39064,-1.63034,-1.71429,-1.70545,-1.6444,-1.59019,-1.52862,-1.48922,-1.43707,-1.39676,-1.36624,-1.06197,-0.97941,-1.04636,-1.07941,-1.05904,-1.07396,-0.98365,-1.00968,-1.09256,-0.98228,-0.70558,-0.53054,-0.05069,-0.14038,-0.21246,-0.1612,-0.18652,-0.22411,-0.27507,-0.35616,-0.319,-0.28779,-0.22075,-0.19688,-0.17303,-0.13436,-0.0644,-0.0479,-0.07724
Aug2012,-0.90045,-0.30634,-0.85713,-0.93523,-0.52533,-0.92726,-1.17352,-1.31384,-1.55025,-1.3989,-1.63276,-1.71934,-1.71089,-1.64818,-1.59202,-1.53325,-1.5004,-1.44762,-1.40654,-1.37855,-1.08303,-1.00358,-1.07151,-1.10335,-1.08305,-1.09709,-1.00827,-1.03329,-1.11264,-1.00425,-0.7343,-0.56408,-0.08811,-0.17699,-0.2495,-0.19683,-0.22151,-0.25882,-0.3086,-0.38851,-0.35053,-0.31794,-0.25022,-0.22501,-0.20036,-0.16005,-0.09149,-0.07475
Sep2012,1.0674,0.73578,0.71855,0.01721,-0.31848,-0.06636,-0.57952,-0.86851,-1.05081,-1.33285,-1.20521,-1.46268,-1.56971,-1.57116,-1.51577,-1.45795,-1.39872,-1.36877,-1.32144,-1.28376,-1.26512,-0.95864,-0.88413,-0.95173,-0.98481,-0.96777,-0.98437,-0.89407,-0.92593,-1.01523,-0.91412,-0.63988,-0.47065,0.00702,-0.07947,-0.14557,-0.09173,-0.11791,-0.15561,-0.20864,-0.29371,-0.25657,-0.22623,-0.15824,-0.13422,-0.11244,-0.072,-0.00426
Oct2012,1.23545,1.38576,1.21721,1.19967,0.84139,0.42039,0.54058,0.02113,-0.32272,-0.56988,-0.93043,-0.854,-1.10538,-1.22322,-1.23957,-1.20473,-1.17092,-1.12725,-1.10562,-1.06813,-1.04222,-1.05171,-0.74228,-0.68848,-0.7503,-0.79133,-0.77973,-0.79976,-0.70698,-0.74959,-0.8469,-0.75318,-0.47324,-0.30928,0.15619,0.07386,0.01746,0.06806,0.04017,0.00244,-0.05318,-0.13828,-0.10189,-0.07582,-0.01088,0.01024,0.03204,0.06831
Nov2012,1.69772,2.52518,2.23248,2.03912,1.97484,1.71506,1.29159,1.35637,0.85065,0.4675,0.14426,-0.27652,-0.25259,-0.48913,-0.64996,-0.68988,-0.67483,-0.66378,-0.63736,-0.6423,-0.63422,-0.61959,-0.66908,-0.35987,-0.32579,-0.37316,-0.41868,-0.41513,-0.44171,-0.35235,-0.41355,-0.52824,-0.4498,-0.16887,-0.01346,0.44391,0.35588,0.30025,0.34772,0.31852,0.27963,0.21781,0.13083,0.16099,0.17812,0.23508,0.25086,0.26654
Dec2012,-1.089,0.58995,1.12184,1.23218,1.09985,1.09005,0.92333,0.68164,0.75865,0.31896,0.03099,-0.21985,-0.56437,-0.52144,-0.74718,-0.88687,-0.91863,-0.89807,-0.87581,-0.8399,-0.83652,-0.81786,-0.80443,-0.84466,-0.55232,-0.51396,-0.56328,-0.60669,-0.60013,-0.62408,-0.53493,-0.58728,-0.68496,-0.60082,-0.33208,-0.18904,0.26757,0.17851,0.12671,0.17468,0.14595,0.10795,0.04661,-0.03755,-0.00434,0.01922,0.07902,0.09617
Jan2013,0.41757,-0.50478,0.54008,1.01578,1.13364,1.01886,1.01526,0.86119,0.65023,0.72732,0.35736,0.1037,-0.13592,-0.45223,-0.41948,-0.63095,-0.77305,-0.80771,-0.79203,-0.76941,-0.7445,-0.75346,-0.7462,-0.7379,-0.78524,-0.50712,-0.46975,-0.51267,-0.55733,-0.55304,-0.57747,-0.48788,-0.53967,-0.63405,-0.54967,-0.28603,-0.14686,0.29243,0.20543,0.15503,0.20236,0.17397,0.13777,0.07668,-0.00371,0.02664,0.0495,0.11094
Feb2013,0.35214,0.41322,-0.25419,0.52544,0.95353,1.07621,0.97188,0.96896,0.82865,0.63401,0.68646,0.36174,0.14526,-0.07694,-0.35663,-0.32774,-0.52127,-0.662,-0.69802,-0.68441,-0.66641,-0.65081,-0.66725,-0.6729,-0.67304,-0.721,-0.4567,-0.41681,-0.45081,-0.49175,-0.48954,-0.51268,-0.42851,-0.47913,-0.56659,-0.48694,-0.23556,-0.10056,0.3147,0.22787,0.17769,0.22717,0.2004,0.16528,0.1074,0.03422,0.06519,0.08492
Mar2013,2.0908,1.64325,1.40744,0.75981,1.25411,1.58859,1.63742,1.5586,1.56837,1.45623,1.26046,1.28783,0.98674,0.75325,0.50878,0.20196,0.18825,0.03989,-0.10422,-0.15167,-0.14806,-0.14003,-0.15142,-0.17434,-0.20456,-0.21769,-0.2856,-0.04753,-0.01745,-0.03819,-0.08256,-0.08695,-0.11205,-0.03462,-0.08641,-0.17985,-0.11833,0.11799,0.24097,0.61383,0.53011,0.48421,0.52771,0.50056,0.46671,0.40924,0.3334,0.35914
Apr2013,0.3605,1.82175,1.59097,1.43119,0.79044,1.30837,1.66135,1.70564,1.62427,1.63714,1.51365,1.30458,1.35324,1.02725,0.77102,0.51337,0.21377,0.20677,0.06061,-0.08043,-0.12711,-0.12377,-0.119,-0.13258,-0.15815,-0.18608,-0.19809,-0.26843,-0.03126,0.00038,-0.02304,-0.06578,-0.07129,-0.09862,-0.02299,-0.07461,-0.16724,-0.10338,0.13531,0.25309,0.62287,0.53952,0.49214,0.53527,0.50769,0.47351,0.416,0.34025
May2013,0.09137,0.13736,1.51556,1.40471,1.27709,0.69507,1.18954,1.54487,1.61288,1.5213,1.53273,1.41259,1.21117,1.26535,0.94249,0.7008,0.45398,0.18537,0.18531,0.04785,-0.08646,-0.12854,-0.12403,-0.11801,-0.13042,-0.15039,-0.18316,-0.20217,-0.26888,-0.03095,0.00117,-0.02084,-0.06444,-0.06954,-0.09674,-0.02115,-0.0735,-0.16735,-0.10021,0.13874,0.25533,0.61396,0.53077,0.48492,0.52876,0.50106,0.46711,0.41003
Jun2013,0.05695,-0.03259,0.0353,1.41651,1.28813,1.18781,0.65058,1.14001,1.4744,1.54663,1.45446,1.45809,1.33265,1.14474,1.19605,0.89263,0.65671,0.42206,0.16953,0.17067,0.03543,-0.0898,-0.13099,-0.12602,-0.11804,-0.1312,-0.15329,-0.18358,-0.20128,-0.26641,-0.04266,-0.01401,-0.03418,-0.07823,-0.08252,-0.10839,-0.03357,-0.0829,-0.1742,-0.11024,0.1224,0.2382,0.59356,0.51192,0.46685,0.51069,0.48404,0.4514
Jul2013,0.556,0.13872,0.05109,0.11747,1.42235,1.30036,1.19007,0.65477,1.14937,1.4831,1.55088,1.45938,1.46316,1.33464,1.14385,1.19248,0.8926,0.65829,0.42981,0.17948,0.17902,0.04608,-0.07562,-0.11674,-0.11219,-0.10349,-0.11836,-0.14026,-0.17036,-0.18835,-0.25233,-0.03042,-0.00219,-0.0206,-0.06373,-0.06824,-0.09376,-0.02071,-0.07009,-0.16007,-0.09723,0.13335,0.24814,0.60045,0.52058,0.47502,0.51835,0.49194
Aug2013,0.45465,0.51639,0.16325,0.10542,0.15468,1.39083,1.28314,1.16908,0.65395,1.13215,1.4574,1.52152,1.43352,1.43701,1.31172,1.12913,1.17813,0.88742,0.65867,0.43691,0.18837,0.18887,0.05939,-0.06155,-0.10311,-0.09885,-0.08838,-0.10557,-0.12928,-0.15863,-0.17913,-0.24469,-0.02303,0.00467,-0.01407,-0.05545,-0.06001,-0.08588,-0.01305,-0.06262,-0.15163,-0.08895,0.14092,0.25635,0.60744,0.52915,0.48237,0.52551
Sep2013,0.17874,0.35764,0.45721,0.22293,0.15142,0.18524,1.32076,1.21379,1.10535,0.64434,1.08242,1.38329,1.45065,1.37056,1.37425,1.2595,1.09546,1.13731,0.86607,0.654,0.43998,0.1988,0.19819,0.06919,-0.04967,-0.08973,-0.0861,-0.07159,-0.08911,-0.11512,-0.1481,-0.16976,-0.23651,-0.01266,0.01838,0.00442,-0.03476,-0.03975,-0.06499,0.00537,-0.04658,-0.13512,-0.07229,0.15732,0.2722,0.61657,0.54002,0.4939
Oct2013,-1.21626,-0.93839,-0.86326,-0.70762,-0.69129,-0.60034,-0.47312,0.84686,0.8101,0.7642,0.33814,0.80685,1.10542,1.18954,1.11112,1.11165,0.99103,0.84381,0.88495,0.62312,0.4262,0.22175,0.00209,-0.00223,-0.14018,-0.26033,-0.29639,-0.28793,-0.26653,-0.27919,-0.30209,-0.3216,-0.33227,-0.39327,-0.17401,-0.13598,-0.14571,-0.18395,-0.18713,-0.21007,-0.13956,-0.18657,-0.26843,-0.20003,0.03144,0.1482,0.49939,0.42201
