DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Oct1992,1.04522,0.61467,0.51696,0.56829,1.4764,0.88037,0.50877,0.22557,0.00514,-0.30093,-0.67226,-0.86259,-0.72004,-0.67516,-0.75004,-0.79393,-0.83637,-0.91114,-1.0265,-0.72997,-0.6203,-0.81678,-0.96827,-1.12648,-0.94183,-1.02566,-1.04176,-1.06477,-1.12732,-1.16868,-0.99903,-1.09763,-1.27058,-1.23332,-0.96746,-0.43142,-0.39668,-0.27397,-0.31899,-0.36449,-0.40829,-0.42041,-0.42429,-0.49108,-0.50921,-0.60365,-0.7675,-0.85177
Nov1992,-1.4844,-0.28252,-0.44213,-0.51257,-0.44534,0.55711,0.07525,-0.23501,-0.43055,-0.54587,-0.78476,-1.04295,-1.1881,-1.05973,-1.00218,-1.06557,-1.10155,-1.14256,-1.21223,-1.29407,-1.00802,-0.90643,-1.08061,-1.20679,-1.3524,-1.18729,-1.26589,-1.27822,-1.30018,-1.36445,-1.38985,-1.20604,-1.29684,-1.47551,-1.43153,-1.16961,-0.62205,-0.59184,-0.46188,-0.50563,-0.55255,-0.59954,-0.60647,-0.60506,-0.67081,-0.68627,-0.77455,-0.93421
Dec1992,-0.94355,-1.60421,-0.9445,-1.02608,-1.05474,-0.99328,-0.1721,-0.49282,-0.66256,-0.80041,-0.9093,-1.06415,-1.25694,-1.3716,-1.23893,-1.17506,-1.23254,-1.26539,-1.30136,-1.35315,-1.41898,-1.14195,-1.06431,-1.21527,-1.32429,-1.48374,-1.34094,-1.40966,-1.41741,-1.43661,-1.50078,-1.51567,-1.33093,-1.42102,-1.58321,-1.52384,-1.28558,-0.77998,-0.7503,-0.62417,-0.66506,-0.70954,-0.75472,-0.75882,-0.75369,-0.81212,-0.82534,-0.90213
Jan1993,-1.30788,-1.28448,-1.75382,-1.31967,-1.37258,-1.37148,-1.30284,-0.60026,-0.85122,-0.95235,-1.02958,-1.13267,-1.27301,-1.47574,-1.57701,-1.4616,-1.38943,-1.45072,-1.486,-1.52339,-1.56354,-1.61304,-1.31844,-1.24502,-1.38694,-1.49277,-1.65091,-1.51227,-1.57893,-1.57931,-1.59398,-1.67368,-1.67594,-1.47536,-1.563,-1.718,-1.64535,-1.40557,-0.91572,-0.88852,-0.76254,-0.80067,-0.8425,-0.88751,-0.88785,-0.88072,-0.93512,-0.9433
Feb1993,-0.66032,-1.29673,-1.38824,-1.71629,-1.40516,-1.47026,-1.46078,-1.39807,-0.80508,-1.02388,-1.09784,-1.15947,-1.23505,-1.35577,-1.55758,-1.63897,-1.5301,-1.45476,-1.50902,-1.54109,-1.56927,-1.60791,-1.65906,-1.37733,-1.30094,-1.43713,-1.53598,-1.67643,-1.55095,-1.60846,-1.60755,-1.62054,-1.69279,-1.69434,-1.50369,-1.58048,-1.72141,-1.66076,-1.43997,-0.97212,-0.94928,-0.82411,-0.86047,-0.90048,-0.94409,-0.94407,-0.93461,-0.9847
Mar1993,-0.35042,-0.76133,-1.27894,-1.36728,-1.69676,-1.4281,-1.46777,-1.46552,-1.4136,-0.89165,-1.08053,-1.1391,-1.19556,-1.26969,-1.38298,-1.52266,-1.58591,-1.48269,-1.42187,-1.46961,-1.49791,-1.52718,-1.55178,-1.601,-1.35223,-1.28966,-1.41693,-1.51104,-1.6544,-1.5229,-1.56937,-1.57025,-1.58437,-1.6486,-1.65387,-1.48281,-1.55899,-1.69413,-1.64304,-1.43126,-0.98861,-0.96849,-0.84835,-0.88216,-0.91996,-0.96186,-0.96146,-0.94985
Apr1993,0.15446,-0.26314,-0.69105,-1.20385,-1.33361,-1.62872,-1.43453,-1.4571,-1.45742,-1.40898,-0.90942,-1.08049,-1.14294,-1.18051,-1.25289,-1.35938,-1.51552,-1.59879,-1.48799,-1.42232,-1.46962,-1.4955,-1.52345,-1.54694,-1.59364,-1.34428,-1.27649,-1.4036,-1.48915,-1.63361,-1.50477,-1.5495,-1.54938,-1.56146,-1.62214,-1.62757,-1.46551,-1.54024,-1.67565,-1.61848,-1.41072,-0.98486,-0.96365,-0.84764,-0.87966,-0.91561,-0.95561,-0.95544
May1993,0.10196,0.06877,-0.24122,-0.65358,-1.0774,-1.23876,-1.53444,-1.31516,-1.33491,-1.34056,-1.3045,-0.85833,-1.0211,-1.08964,-1.12757,-1.19153,-1.2888,-1.44362,-1.54074,-1.43485,-1.38229,-1.43066,-1.45798,-1.48661,-1.51664,-1.56873,-1.32055,-1.25046,-1.37932,-1.46907,-1.62669,-1.49544,-1.5383,-1.53869,-1.55177,-1.61293,-1.61917,-1.45617,-1.53328,-1.66879,-1.60712,-1.39597,-0.97604,-0.95291,-0.8375,-0.86955,-0.90525,-0.94458
Jun1993,-0.62693,-0.34546,-0.21745,-0.43728,-0.75546,-1.17271,-1.30908,-1.60979,-1.38138,-1.39539,-1.39935,-1.35664,-0.91428,-1.07087,-1.13559,-1.16875,-1.22869,-1.3223,-1.49,-1.58134,-1.46673,-1.40757,-1.45451,-1.47922,-1.50849,-1.54002,-1.58789,-1.33812,-1.2671,-1.39187,-1.478,-1.61849,-1.49419,-1.53533,-1.53667,-1.54974,-1.60711,-1.61328,-1.45558,-1.53025,-1.6603,-1.60655,-1.40288,-0.99247,-0.96942,-0.85703,-0.88828,-0.92321
Jul1993,-0.45913,-0.74031,-0.47248,-0.3038,-0.4934,-0.79159,-1.16803,-1.30665,-1.59408,-1.37636,-1.39042,-1.39501,-1.3534,-0.92658,-1.07476,-1.13516,-1.16734,-1.22422,-1.31542,-1.48087,-1.57085,-1.46049,-1.4034,-1.44853,-1.47282,-1.50184,-1.53209,-1.57906,-1.33468,-1.2651,-1.38841,-1.47411,-1.61078,-1.48852,-1.52977,-1.53101,-1.54342,-1.59992,-1.60619,-1.45176,-1.52453,-1.65306,-1.60216,-1.40016,-0.99385,-0.97113,-0.86022,-0.89103
