"clu_pop","month","event","mean","sd","se","variable"
"Northern slope",5,"2012",0.280840432774437,0.0225069056063502,0.0112534528031751,"myevisp"
"Northern slope",5,"ref",0.279184563367475,0.0381908610923835,0.00477385763654794,"myevisp"
"Northern slope",6,"2005",0.24690571863667,0.0225278901629764,0.0112639450814882,"myevisp"
"Northern slope",6,"2012",0.306085642591733,0.0178701761814957,0.00893508809074786,"myevisp"
"Northern slope",6,"ref",0.307181172161361,0.0297459589690052,0.00371824487112565,"myevisp"
"Northern slope",7,"2005",0.210186239688982,0.0320865546314549,0.0160432773157274,"myevisp"
"Northern slope",7,"2012",0.267539439106623,0.0198739942932476,0.00993699714662378,"myevisp"
"Northern slope",7,"ref",0.273734148733199,0.0290822957650052,0.00363528697062565,"myevisp"
"Northern slope",8,"2005",0.205117859366243,0.0233879384328263,0.0116939692164131,"myevisp"
"Northern slope",8,"2012",0.225274793547955,0.0204526504467468,0.0102263252233734,"myevisp"
"Northern slope",8,"ref",0.243926215544161,0.0287370347967398,0.00359212934959247,"myevisp"
"Northern slope",9,"2005",0.205942315601066,0.0365883047532518,0.0182941523766259,"myevisp"
"Northern slope",9,"2012",0.217671609534941,0.0362633480220095,0.0181316740110047,"myevisp"
"Northern slope",9,"ref",0.231519700366336,0.0301141612326999,0.00376427015408748,"myevisp"
"Northern slope",10,"2005",0.191540183718928,0.0381381137423886,0.0190690568711943,"myevisp"
"Northern slope",10,"2012",0.250267696918466,0.0322581792544541,0.0161290896272271,"myevisp"
"Northern slope",10,"ref",0.225454133340751,0.0368411757784722,0.00460514697230902,"myevisp"
"Northern slope",11,"2005",0.154909634489635,0.0375190001000357,0.0187595000500179,"myevisp"
"Northern slope",11,"2012",0.190759519303423,0.0279660080133117,0.0139830040066558,"myevisp"
"Northern slope",11,"ref",0.197508192433951,0.0385263172064468,0.00481578965080585,"myevisp"
"Northern slope",12,"2005",0.14804313218735,0.0365937262764586,0.0182968631382293,"myevisp"
"Northern slope",12,"2012",0.165835614150342,0.0360857509115069,0.0180428754557534,"myevisp"
"Northern slope",12,"ref",0.170605515551787,0.0386911934319166,0.00483639917898958,"myevisp"
"Southern slope",1,"2005",0.275701661897767,0.0010575594229547,0.000610582217526924,"myevisp"
"Southern slope",1,"2012",0.243057512843683,0.0103380037419643,0.00596864924330644,"myevisp"
"Southern slope",1,"ref",0.248237929968469,0.0167156627325844,0.00249182387726791,"myevisp"
"Southern slope",2,"2005",0.224908483126302,0.00730363047312264,0.00421675301971891,"myevisp"
"Southern slope",2,"2012",0.229662358277176,0.014001967376836,0.00808403963420063,"myevisp"
"Southern slope",2,"ref",0.232865969122646,0.0231571712853691,0.00334244976881952,"myevisp"
"Southern slope",3,"2005",0.214505871215119,0.0276181902263923,0.0159453695617379,"myevisp"
"Southern slope",3,"2012",0.215371569325222,0.00720290927657445,0.00415860160977871,"myevisp"
"Southern slope",3,"ref",0.229758450987168,0.0176995657705263,0.00255471226553822,"myevisp"
"Southern slope",4,"2005",0.228435234423917,0.00812710302927597,0.0046921851216843,"myevisp"
"Southern slope",4,"2012",0.219385662740882,0.0085325048751118,0.00492624398650759,"myevisp"
"Southern slope",4,"ref",0.246763623748381,0.0234552018878285,0.0033854667809587,"myevisp"
"Southern slope",5,"2005",0.302503158439075,0.0072248564220892,0.0041712728001496,"myevisp"
"Southern slope",5,"2012",0.304335149276167,0.00719154087085569,0.00415203805767673,"myevisp"
"Southern slope",5,"ref",0.310214440522532,0.0249581394646768,0.00360239713460085,"myevisp"
"Southern slope",6,"2005",0.311171834358156,0.0124785319588845,0.0072044837855533,"myevisp"
"Southern slope",6,"2012",0.329684020255811,0.0186297421787735,0.0107558866618482,"myevisp"
"Southern slope",6,"ref",0.338365593467705,0.01931549608296,0.00278795171575703,"myevisp"
"Southern slope",7,"2005",0.291729436233577,0.0106119495053164,0.00612681190352115,"myevisp"
"Southern slope",7,"2012",0.301880104885368,0.020026962726295,0.011562572321077,"myevisp"
"Southern slope",7,"ref",0.32091266203442,0.0234058480253133,0.00337834316450653,"myevisp"
"Southern slope",8,"2005",0.271958544638244,0.00832961214511146,0.00480910381422528,"myevisp"
"Southern slope",8,"2012",0.268604446795707,0.015746903767627,0.00909147912914259,"myevisp"
"Southern slope",8,"ref",0.300086566213749,0.0198634648571876,0.00286704419558398,"myevisp"
"Southern slope",9,"2005",0.262973956566517,0.0126398673438868,0.00729763081351421,"myevisp"
"Southern slope",9,"2012",0.26685926390507,0.0189833647101531,0.0109600507255318,"myevisp"
"Southern slope",9,"ref",0.289237526736058,0.0177670502346515,0.00256445280892042,"myevisp"
"Southern slope",10,"2005",0.264988584153768,0.00817916569499469,0.00472224351575174,"myevisp"
"Southern slope",10,"2012",0.304081531778648,0.0414702009172139,0.0239428316629013,"myevisp"
"Southern slope",10,"ref",0.287400102354878,0.0178226432154781,0.00257247696453174,"myevisp"
"Southern slope",11,"2005",0.257088561509576,0.011711209011748,0.00676146967546866,"myevisp"
"Southern slope",11,"2012",0.276552046532906,0.000670738471127008,0.000387251036861016,"myevisp"
"Southern slope",11,"ref",0.276943191885853,0.0145188078399788,0.00209560940368106,"myevisp"
"Southern slope",12,"2005",0.257475345350373,0.00382938921105366,0.00221089889183368,"myevisp"
"Southern slope",12,"2012",0.248727800322301,0.00774451588009202,0.00447129832811446,"myevisp"
"Southern slope",12,"ref",0.260269981318419,0.0176443514986662,0.00254674277185782,"myevisp"
"Camarate",1,"2005",0.19153515625,NA,NA,"myndvisp"
"Camarate",1,"2012",0.153280454545455,NA,NA,"myndvisp"
"Camarate",1,"ref",0.171936942104285,0.0206485803910674,0.00533144053182861,"myndvisp"
"Camarate",2,"2005",0.17809453125,NA,NA,"myndvisp"
"Camarate",2,"2012",0.109184186046512,NA,NA,"myndvisp"
"Camarate",2,"ref",0.168969782684367,0.0383588032908832,0.0095897008227208,"myndvisp"
"Camarate",3,"2005",0.17252109375,NA,NA,"myndvisp"
"Camarate",3,"2012",0.169579279279279,NA,NA,"myndvisp"
"Camarate",3,"ref",0.17769161680227,0.0243806006844144,0.0060951501711036,"myndvisp"
"Camarate",4,"2005",0.221675373134328,NA,NA,"myndvisp"
"Camarate",4,"2012",0.184334196891192,NA,NA,"myndvisp"
"Camarate",4,"ref",0.222506525744545,0.0195792220720175,0.00489480551800438,"myndvisp"
"Camarate",5,"2005",0.271751226158038,NA,NA,"myndvisp"
"Camarate",5,"2012",0.281077016129032,NA,NA,"myndvisp"
"Camarate",5,"ref",0.293294397255007,0.0214401568999923,0.00536003922499807,"myndvisp"
"Camarate",6,"2005",0.258978723404255,NA,NA,"myndvisp"
"Camarate",6,"2012",0.312673357664234,NA,NA,"myndvisp"
