"month","event","mean","sd","se","variable"
7,"ref",0.292623582697468,0.0343486365829079,0.00303601923153581,"myndvisp"
8,"2005",0.231591892694393,0.0372305665869263,0.0131629930505164,"myndvisp"
8,"2012",0.243019277088325,0.0267461948459822,0.00945620787326536,"myndvisp"
8,"ref",0.266284051724069,0.0360430827755671,0.00318578853068394,"myndvisp"
9,"2005",0.227479421466894,0.0385155590629044,0.0136173064972853,"myndvisp"
9,"2012",0.238611497318259,0.0354854493621493,0.0125460009387138,"myndvisp"
9,"ref",0.253956955161057,0.036833256035414,0.00325563063947769,"myndvisp"
10,"2005",0.219605437473143,0.0453518394549758,0.0160342966089485,"myndvisp"
10,"2012",0.270817759342392,0.0411954004142198,0.014564773493295,"myndvisp"
10,"ref",0.24856454399964,0.0416463067309215,0.0036810482376012,"myndvisp"
11,"2005",0.195211221170283,0.0574173092388866,0.0203000843601509,"myndvisp"
11,"2012",0.222995212060901,0.0479812533352685,0.016963934801599,"myndvisp"
11,"ref",0.22723131898549,0.0483672270750918,0.00427509928149838,"myndvisp"
12,"2005",0.191964469037565,0.0598481412386044,0.0211595132556137,"myndvisp"
12,"2012",0.198220566180409,0.0483407334304855,0.0170910302081138,"myndvisp"
12,"ref",0.206126491789894,0.0518162205920463,0.00457995011951175,"myndvisp"
