"iv_malla_modi_id","poblacion","lng","lat","dr","post","pre","rt","rc","rs","rrs"
147562,1,-3.23861836842926,37.1818281894245,1.10605,1.25235,1.5494,0.713856976894282,1.13227250124316,0.808280624757971,0.0944236478636891
148227,1,-3.27513633436517,37.1797448593133,1.16795,1.565475,1.6589,0.704050877087226,1.34036131683719,0.943682560733016,0.239631683645789
148228,1,-3.2725215281754,37.1797448593133,1.29535,1.7443,1.6801,0.770995774061068,1.34658586482418,1.03821201118981,0.267216237128742
148229,1,-3.26990672198564,37.1797448593133,1.38915,1.864375,1.76895,0.785296362248792,1.3420976856351,1.05394443031177,0.268648068062975
148230,1,-3.26729191579587,37.1797448593133,1.53245,1.8254,2.0656,0.741890975987606,1.19116447518679,0.883714175058094,0.141823199070488
148231,1,-3.26467710960611,37.1797448593133,1.6255,1.9595,2.1495,0.756222377297046,1.20547523838819,0.911607350546639,0.155384973249593
148232,1,-3.26206230341635,37.1797448593133,1.63625,2.064725,2.2338,0.732496194824962,1.26186401833461,0.924310591816635,0.191814396991673
148233,1,-3.25944749722658,37.1797448593133,1.25555,1.924575,1.90765,0.658165806096506,1.53285412767313,1.00887217256834,0.350706366471837
148234,1,-3.25683269103682,37.1797448593133,1.133,1.474475,1.6058,0.705567318470544,1.30139011473963,0.918218333540914,0.21265101507037
148235,1,-3.25421788484705,37.1797448593133,1.4141,1.83085,2.1472,0.658578614008942,1.29471041651934,0.852668591654247,0.194089977645306
148236,1,-3.25160307865729,37.1797448593133,1.3555,1.784975,1.81475,0.746934839509574,1.31683880486905,0.983592781374845,0.236657941865271
148237,1,-3.24898827246753,37.1797448593133,1.18895,1.50465,1.79435,0.66260762950372,1.26552840741831,0.838548778109065,0.175941148605344
148238,1,-3.24637346627776,37.1797448593133,1.1392,1.443175,1.4523,0.784410934379949,1.26683198735955,0.993716862907113,0.209305928527164
148239,1,-3.243758660088,37.1797448593133,1.2966,1.54025,1.77325,0.73119977442549,1.187914545735,0.86860284787819,0.1374030734527
148240,1,-3.24114385389823,37.1797448593133,1.0924,1.41555,1.33925,0.815680418144484,1.29581655071402,1.05697218592496,0.241291767780474
148241,1,-3.23852904770847,37.1797448593133,0.9406,1.057325,1.0734,0.876280976336874,1.12409632149692,0.985024222098006,0.108743245761133
148242,1,-3.2359142415187,37.1797448593133,0.92065,1.14085,1.18425,0.777411864048976,1.23917884103622,0.963352332700021,0.185940468651045
148905,1,-3.2776607473833,37.177661529202,1.00915,1.3828,1.28815,0.783410317121453,1.37026210176882,1.07347746768622,0.290067150564763
148906,1,-3.27504601330414,37.177661529202,1.2549,1.506675,1.34155,0.935410532592896,1.20063351661487,1.1230852372256,0.187674704632701
148907,1,-3.27243127922498,37.177661529202,1.36555,1.66525,1.65675,0.824234193451033,1.21947200761598,1.00513052663347,0.180896333182436
148908,1,-3.26981654514583,37.177661529202,1.44145,1.799,1.8025,0.799694868238558,1.24804883971001,0.998058252427184,0.198363384188627
148909,1,-3.26720181106667,37.177661529202,1.5293,1.859475,2.1386,0.715093986720284,1.21589943111227,0.869482371645001,0.154388384924717
148910,1,-3.26458707698751,37.177661529202,1.45945,1.869,2.0982,0.695572395386522,1.28061941142211,0.890763511581355,0.195191116194834
148911,1,-3.26197234290836,37.177661529202,1.3219,1.664025,1.6558,0.798345210774248,1.2588130720932,1.00496738736562,0.206622176591376
148912,1,-3.2593576088292,37.177661529202,1.05685,1.40935,1.5259,0.692607641391965,1.33353834508208,0.923618847893047,0.231011206501081
148913,1,-3.25674287475004,37.177661529202,1.39125,1.8032,1.7493,0.7953181272509,1.29610062893082,1.03081232492997,0.235494197679072
148914,1,-3.25412814067089,37.177661529202,1.4371,1.891025,2.15845,0.665801848548727,1.31586180502401,0.876103222219648,0.210301373670921
148915,1,-3.25151340659173,37.177661529202,1.25185,1.791475,2.18565,0.572758675908769,1.43106202819827,0.819653192414156,0.246894516505387
148916,1,-3.24889867251257,37.177661529202,1.09075,1.326425,1.59035,0.685855314867796,1.21606692642677,0.834045964724746,0.14819064985695
148917,1,-3.24628393843342,37.177661529202,1.10275,1.310175,1.6535,0.666918657393408,1.18809793697574,0.79236468097974,0.125446023586332
148918,1,-3.24366920435426,37.177661529202,1.2179,1.38885,1.70035,0.716264298526774,1.1403645619509,0.816802423030553,0.100538124503779
148919,1,-3.2410544702751,37.177661529202,1.07505,1.260575,1.53905,0.698515317890907,1.17257336868053,0.819060459374289,0.120545141483383
148920,1,-3.23843973619594,37.177661529202,0.7996,1.01085,1.0537,0.758849767486002,1.26419459729865,0.95933377621714,0.200484008731138
148921,1,-3.23582500211679,37.177661529202,0.97715,1.054575,1.10655,0.883059961140482,1.07923553190401,0.953029686864579,0.0699697257240975
149584,1,-3.27757036353044,37.1755781990908,1.05455,1.3853,1.4572,0.723682404611584,1.31364088947892,0.950658797694208,0.226976393082624
149585,1,-3.27495570155446,37.1755781990908,1.1231,1.47845,1.3713,0.819003864945672,1.31640103285549,1.07813753372712,0.259133668781448
149586,1,-3.27234103957847,37.1755781990908,1.4457,1.729375,1.64165,0.880638382115554,1.19621982430656,1.05343709073189,0.172798708616331
149587,1,-3.26972637760249,37.1755781990908,1.36865,1.779175,1.85315,0.738553274154818,1.29994885471085,0.960081482880501,0.221528208725683
149588,1,-3.26711171562651,37.1755781990908,1.40775,1.672875,2.03905,0.690395036904441,1.18833244539158,0.820418822490866,0.130023785586425
149589,1,-3.26449705365052,37.1755781990908,1.35615,1.68115,2.07695,0.652952646910133,1.23964900637835,0.80943209995426,0.156479453044127
149590,1,-3.26188239167454,37.1755781990908,1.22335,1.4814,1.66085,0.736580666526176,1.21093718069236,0.891952915675708,0.155372249149532
149591,1,-3.25926772969856,37.1755781990908,1.31875,1.673825,1.71075,0.770860733596376,1.26925118483412,0.978415899459301,0.207555165862925
149592,1,-3.25665306772257,37.1755781990908,1.6204,2.174625,2.3895,0.678133500732371,1.34202974574179,0.910075329566855,0.231941828834484
149593,1,-3.25403840574659,37.1755781990908,1.54505,2.112475,2.09975,0.735825693534944,1.36725348694217,1.00606024526729,0.270234551732349
149594,1,-3.2514237437706,37.1755781990908,1.08825,1.69485,1.8084,0.60177504976775,1.55740868366644,0.937209688122097,0.335434638354346
149595,1,-3.24880908179462,37.1755781990908,1.0306,1.2537,1.22645,0.840311468058217,1.2164758393169,1.02221859839374,0.181907130335521
149596,1,-3.24619441981864,37.1755781990908,1.04385,1.2917,1.61195,0.647569713700797,1.23743832926187,0.8013275846025,0.153757870901703
149597,1,-3.24357975784265,37.1755781990908,1.19445,1.395175,1.37965,0.865763055847498,1.16804805559044,1.01125285398471,0.145489798137209
149598,1,-3.24096509586667,37.1755781990908,1.11395,1.229575,1.37705,0.808939399440834,1.10379729790386,0.89290512327076,0.0839657238299264
149599,1,-3.23835043389068,37.1755781990908,0.8109,1.076225,1.00675,0.805463123913583,1.32719817486743,1.06900918798113,0.263546064067544
149600,1,-3.2357357719147,37.1755781990908,0.92125,1.076675,1.11515,0.826122046361476,1.16871099050204,0.965497915078689,0.139375868717213
150263,1,-3.27747998899535,37.1734948689796,1.18045,1.58655,1.60465,0.735643286698034,1.3440213477911,0.988720281681363,0.25307699498333
150264,1,-3.27486539911511,37.1734948689796,1.285,1.66155,1.5869,0.809754867981599,1.29303501945525,1.04704140147457,0.237286533492974
150265,1,-3.27225080923486,37.1734948689796,1.3256,1.779375,1.86275,0.711636022010468,1.34231668678334,0.95524090726077,0.243604885250302
150266,1,-3.26963621935462,37.1734948689796,1.30815,1.627125,1.8884,0.692729294640966,1.24383671597294,0.861642130904469,0.168912836263504
150267,1,-3.26702162947438,37.1734948689796,1.2397,1.553025,1.7794,0.69669551534225,1.25274259901589,0.872780150612566,0.176084635270316
150268,1,-3.26440703959413,37.1734948689796,1.2142,1.582525,1.6927,0.717315531399539,1.30334788338,0.934911679565192,0.217596148165653
150269,1,-3.26179244971389,37.1734948689796,1.38515,1.628325,1.82695,0.758176195298175,1.17555860376133,0.891280549549796,0.133104354251622
150270,1,-3.25917785983364,37.1734948689796,1.54235,1.916675,2.0299,0.759815754470664,1.24269783123156,0.944221390216267,0.184405635745603
