"iv_malla_modi_id","pop","long","lat","dr","post","pre","rt","rc","rs","rrs"
144157,1,-3.2652175,37.1922448,1.6268,1.5045,1.6441,0.98947752569795,0.924821735923285,0.915090322973055,-0.0743872027248951
144158,1,-3.2626023,37.1922448,1.8466,1.74616666666667,1.87726666666667,0.983664192620477,0.945611754937001,0.930164423452537,-0.0534997691679392
144159,1,-3.259987,37.1922448,1.8566,1.8237,1.8934,0.980564064645611,0.982279435527308,0.963187915918454,-0.0173761487271575
144160,1,-3.2573718,37.1922448,1.6906,1.7168,1.8937,0.892749643554945,1.01549745652431,0.906584992343032,0.0138353487880867
144161,1,-3.2547565,37.1922448,1.7493,1.70153333333333,1.90383333333333,0.918830429834544,0.972693839440538,0.893740698590563,-0.0250897312439815
144162,1,-3.2521413,37.1922448,1.6435,1.80473333333333,1.9697,0.834391024013809,1.0981036406044,0.916247821157198,0.081856797143389
144163,1,-3.2495261,37.1922448,1.5333,1.5541,1.7319,0.885328252208557,1.01356551229375,0.897338183497893,0.0120099312893354
144164,1,-3.2469108,37.1922448,1.4808,1.3959,1.53303333333333,0.965928116370594,0.942666126418152,0.91054771585745,-0.0553804005131439
144165,1,-3.2442956,37.1922448,1.4379,1.3036,1.5071,0.954084002388693,0.906599902635788,0.864972463671953,-0.0891115387167407
144166,1,-3.2416803,37.1922448,1.4018,1.2657,1.42736666666667,0.982088227738726,0.902910543586817,0.886737815557787,-0.0953504121809392
144167,1,-3.2390651,37.1922448,1.1941,1.3023,1.3428,0.889261245159368,1.09061217653463,0.969839142091153,0.0805778969317844
144168,1,-3.2364499,37.1922448,1.2574,1.32616666666667,1.3885,0.905581562837595,1.05468957107258,0.955107430080423,0.049525867242828
144833,1,-3.2729729,37.1901615,1.3394,1.4047,1.4872,0.900618612157074,1.04875317306257,0.944526627218935,0.0439080150618613
144834,1,-3.2703577,37.1901615,1.3952,1.41146666666667,1.48336666666667,0.940563133412732,1.01165902140673,0.95152917911957,0.010966045706838
144835,1,-3.2677426,37.1901615,1.375,1.43646666666667,1.56566666666667,0.878220140515222,1.04470303030303,0.917479242069406,0.0392591015541836
144836,1,-3.2651274,37.1901615,1.6847,1.6617,1.72876666666667,0.974509766114571,0.986347717694545,0.961205483678152,-0.0133042824364191
144837,1,-3.2625122,37.1901615,1.7482,1.7269,1.80736666666667,0.967263606351782,0.987816039354765,0.955478504638424,-0.0117851017133582
144838,1,-3.2598971,37.1901615,1.6874,1.73096666666667,1.7824,0.946701077199282,1.02581881395441,0.971143776181927,0.0244426989826452
144839,1,-3.2572819,37.1901615,1.6268,1.7069,1.87396666666667,0.868105089026841,1.04923776739612,0.910848645475729,0.0427435564488874
144840,1,-3.2546667,37.1901615,1.5661,1.6704,1.95213333333333,0.802250529335428,1.06659855692485,0.85567925688136,0.0534287275459326
144841,1,-3.2520516,37.1901615,1.5665,1.72136666666667,1.95303333333333,0.802085644552918,1.09886158101926,0.881381099486269,0.0792954549333516
144842,1,-3.2494364,37.1901615,1.5949,1.69183333333333,1.8603,0.857334838466914,1.06077706021276,0.909441129566916,0.0521062911000018
144843,1,-3.2468212,37.1901615,1.621,1.60606666666667,1.67253333333333,0.969188456632653,0.990787579683323,0.960259885204082,-0.00892857142857138
144844,1,-3.2442061,37.1901615,1.5798,1.43736666666667,1.6103,0.981059429919891,0.909840908131831,0.89260800264961,-0.0884514272702809
